"Object","Close_Approach_CA_Date","CA_Distance_Nominal_km","CA_Distance_Minimum_km","V_relative_km/s","V_infinity_km/s","H_mag","Diameter","Rarity"
"(2023 HM4)","2022-Aug-02 03:43 ±    00:11","6924369","6923132","1.19","1.14","27.5","8.4 m -   19 m","0"
"(2022 OX3)","2022-Aug-02 13:15 ± < 00:01","2737481","2729646","15.90","15.89","25.4","22 m -   49 m","0"
"(2022 OK5)","2022-Aug-02 20:49 ± < 00:01","3409526","3400039","17.99","17.99","23.3","59 m -  130 m","1"
"(2022 PA)","2022-Aug-03 13:48 ± < 00:01","1255337","1249314","24.86","24.85","26.1","16 m -   36 m","0"
"(2020 PN1)","2022-Aug-03 15:44 ± < 00:01","3718242","3718224","4.61","4.59","25.4","22 m -   48 m","0"
"(2022 OE2)","2022-Aug-04 00:23 ± < 00:01","5188162","5149263","32.17","32.17","21.0","170 m -  370 m","1"
"(2022 OC3)","2022-Aug-04 07:25 ± < 00:01","1225858","1224640","3.84","3.76","28.4","5.6 m -   13 m","0"
"(2022 PC2)","2022-Aug-04 16:42 ±    00:02","739015","738191","3.76","3.62","27.1","10 m -   23 m","0"
"(2022 OJ3)","2022-Aug-04 18:04 ± < 00:01","1900908","1896807","12.52","12.51","24.9","27 m -   61 m","0"
"(2022 QS1)","2022-Aug-04 22:07 ±    00:05","5897269","5865746","8.04","8.03","25.1","26 m -   58 m","0"
"(2022 QY2)","2022-Aug-05 04:28 ±    00:09","6464212","6415988","10.81","10.80","25.2","24 m -   54 m","0"
"(2022 QF3)","2022-Aug-05 13:28 ±    00:03","6711951","6658524","8.05","8.04","25.4","22 m -   50 m","0"
"(2022 OE6)","2022-Aug-05 18:17 ± < 00:01","2869201","2852446","11.19","11.18","27.2","9.7 m -   22 m","0"
"(2022 OB5)","2022-Aug-05 22:06 ± < 00:01","1015963","1015569","2.12","1.93","28.9","4.4 m -  9.7 m","0"
"(2022 QH)","2022-Aug-06 00:04 ± < 00:01","7155130","7140381","10.84","10.83","24.6","32 m -   72 m","0"
"(2022 PX)","2022-Aug-06 05:28 ± < 00:01","2552198","2546746","10.15","10.13","24.3","37 m -   82 m","1"
"(2022 PE)","2022-Aug-06 08:34 ± < 00:01","944589","943951","3.87","3.76","28.3","5.8 m -   13 m","0"
"(2022 OH2)","2022-Aug-07 06:35 ± < 00:01","1687780","1686432","4.00","3.94","27.4","8.8 m -   20 m","0"
"(2022 QD3)","2022-Aug-07 20:01 ±    00:02","3738073","3736302","6.47","6.46","25.1","26 m -   58 m","0"
"(2022 QJ2)","2022-Aug-08 09:37 ±    00:11","1884437","1874085","13.13","13.11","25.4","22 m -   49 m","0"
"(2022 QL)","2022-Aug-08 12:51 ± < 00:01","4630777","4614215","4.77","4.75","26.4","14 m -   32 m","0"
"(2022 PW1)","2022-Aug-08 18:58 ±    00:05","244496","243873","8.60","8.40","27.7","7.6 m -   17 m","0"
"(2022 OC4)","2022-Aug-09 00:03 ± < 00:01","1545332","1542046","7.53","7.50","27.4","8.6 m -   19 m","0"
"(2022 PF)","2022-Aug-09 09:19 ± < 00:01","1716118","1712827","9.64","9.61","26.9","11 m -   25 m","0"
"(2022 QR3)","2022-Aug-10 03:39 ±    00:01","5760387","5726475","5.29","5.27","26.0","16 m -   37 m","0"
"(2022 PA2)","2022-Aug-10 14:11 ± < 00:01","5875146","5872103","8.83","8.83","23.5","53 m -  120 m","0"
"(2022 PA1)","2022-Aug-10 16:02 ± < 00:01","1018139","1011679","16.33","16.31","26.5","13 m -   29 m","0"
"(2022 PK1)","2022-Aug-11 01:01 ±    00:03","5207604","5182344","10.19","10.18","25.2","24 m -   54 m","0"
"(2022 QN4)","2022-Aug-11 10:31 ±    00:18","163771","163244","11.63","11.41","26.7","12 m -   27 m","1"
"(2022 QD)","2022-Aug-11 18:32 ± < 00:01","7101472","7071016","8.19","8.19","26.1","16 m -   36 m","0"
"(2022 QN6)","2022-Aug-11 21:03 ±    00:03","2152562","2151092","5.67","5.64","26.5","13 m -   30 m","0"
"(2022 QS)","2022-Aug-12 04:07 ±    00:01","2400701","2393335","13.78","13.77","24.5","34 m -   75 m","0"
"(2015 FF)","2022-Aug-12 08:09 ± 5_01:41","4283780","4017151","9.17","9.16","26.6","13 m -   28 m","0"
"(2022 PX1)","2022-Aug-12 09:24 ± < 00:01","1087576","1081916","35.12","35.11","22.2","97 m -  220 m","2"
"(2022 QO)","2022-Aug-12 18:22 ±    00:01","681756","680565","9.41","9.35","26.4","14 m -   31 m","0"
"(2022 QE2)","2022-Aug-13 05:35 ±    00:01","814614","812583","5.88","5.79","29.0","4.3 m -  9.6 m","0"
"(2022 QO6)","2022-Aug-13 12:17 ±    00:09","3158348","3140133","3.45","3.41","25.2","24 m -   53 m","0"
"(2022 OT1)","2022-Aug-13 21:53 ± < 00:01","4755810","4752962","5.78","5.76","25.2","25 m -   55 m","0"
